municipio;codEstacao;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;00:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;00:20:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;01:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;02:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;03:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;04:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;05:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;06:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;07:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;08:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;09:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;10:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;11:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;12:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;13:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;14:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;15:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;16:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;17:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;18:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;19:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;20:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;21:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;22:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;01/07/2019;23:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;00:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;01:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;01:50:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;02:00:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;02:30:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;03:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;03:50:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;04:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;04:40:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;05:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;06:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;06:20:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;07:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;08:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;08:40:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;09:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;10:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;11:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;11:20:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;12:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;13:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;13:20:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;14:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;15:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;15:50:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;16:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;17:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;18:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;18:40:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;19:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;20:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;21:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;22:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;22:30:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;02/07/2019;23:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;03/07/2019;00:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;03/07/2019;01:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;03/07/2019;02:00:00.0;0
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;03/07/2019;02:50:00.0;0,2
ALCÂNTARA;210020401A;MA;Centro;-2,334475;-44,420116;03/07/2019;03:00:00.0;0
